Week,Day,2017,2018,2019,2020,2021
Week 43,Total,0.0,12833.31,11702.220000000001,8185.250000000001,0.0
Week44,Monday,0.0,1197.79,1510.79,777.02,0.0
Week44,Tuesday,0.0,993.23,1159.6599999999999,1468.25,0.0
Week44,Wednesday,0.0,2244.98,1791.8100000000002,1216.35,0.0
Week44,Thursday,0.0,1241.8700000000001,2216.17,2566.51,0.0
Week44,Friday,0.0,2319.41,1588.0099999999998,1921.93,0.0
Week44,Saturday,0.0,2368.6099999999997,2015.73,2010.95,0.0
Week44,Sunday,0.0,1448.31,984.78,1125.15,0.0
Week44,Total,0.0,11814.199999999999,11266.95,11086.16,0.0
Week 45,Monday,0.0,1238.72,1514.5100000000002,743.28,0.0
Week 45,Tuesday,0.0,1587.1599999999999,1751.5,1166.85,0.0
Week 45,Wednesday,0.0,1761.23,1530.21,2050.7,0.0
Week 45,Thursday,0.0,2073.52,2136.42,1545.33,0.0
Week 45,Friday,0.0,3244.7,2374.04,1713.78,0.0
Week 45,Saturday,0.0,1872.28,1972.04,2009.95,0.0
Week 45,Sunday,0.0,1379.7199999999998,1490.99,1311.01,0.0
Week 45,Total,0.0,13157.330000000002,12769.710000000001,10540.9,0.0
Week 46,Monday,0.0,1472.24,988.8699999999999,753.8,0.0
Week 46,Tuesday,0.0,1570.9299999999998,1430.69,975.6700000000001,0.0
Week 46,Wednesday,0.0,1791.9,1504.52,1988.4499999999998,0.0
Week 46,Thursday,0.0,2056.4700000000003,1961.97,1368.15,0.0
Week 46,Friday,0.0,2378.26,2105.3199999999997,1741.45,0.0
Week 46,Saturday,0.0,2382.7799999999997,1903.55,1716.85,0.0
Week 46,Sunday,0.0,1972.82,1156.64,1311.27,0.0
Week 46,Total,0.0,13625.399999999998,11051.56,9855.64,0.0
Week 47,Monday,0.0,1420.8700000000001,1618.75,788.43,0.0
Week 47,Tuesday,0.0,1211.77,1545.8500000000001,1218.1,0.0
Week 47,Wednesday,0.0,2747.38,1439.77,1480.3200000000002,0.0
Week 47,Thursday,0.0,958.4699999999999,1356.07,1473.38,0.0
Week 47,Friday,0.0,2262.99,1751.56,2779.1,0.0
Week 47,Saturday,0.0,2175.35,1879.51,2003.65,0.0
Week 47,Sunday,0.0,1909.1200000000001,1860.04,467.42,0.0
